y.1,y.2,y.3,elev,forest
0,0,0,420,3
0,0,0,450,21
0,0,0,1050,32
0,0,0,1110,35
0,0,0,510,2
0,0,0,630,60
0,0,0,590,5
0,0,0,530,13
1,1,0,1140,50
0,0,1,770,57
0,0,0,1220,84
0,0,0,460,17
0,0,0,1010,58
0,0,0,760,26
1,0,0,1300,32
1,1,0,1270,66
0,0,0,380,45
1,1,1,550,31
0,0,0,390,8
0,1,0,1380,78
0,0,0,530,37
0,0,0,1190,18
1,1,1,1490,54
0,0,0,920,6
0,0,0,620,3
0,0,0,540,27
1,0,1,820,56
1,1,1,1220,66
1,1,1,1180,43
0,0,0,730,40
0,0,0,580,5
0,0,0,490,3
0,0,0,1270,52
0,0,0,930,38
0,0,0,510,49
1,1,NA,1830,15
1,1,1,1940,62
1,1,1,1090,82
0,0,NA,2010,0
0,0,0,790,5
1,1,1,1730,58
0,0,0,1120,98
0,0,0,620,33
0,0,0,590,53
1,1,1,1840,17
0,0,0,930,16
1,1,1,540,60
0,0,0,420,2
1,1,1,1400,52
0,0,0,890,58
1,1,1,1460,50
0,0,NA,1850,12
0,0,0,1420,29
0,0,0,600,16
0,0,0,550,83
0,0,0,750,79
1,1,1,1790,51
0,0,0,680,8
0,0,1,990,45
0,0,0,520,5
0,0,0,760,64
0,0,0,370,14
0,0,NA,2710,0
0,0,0,650,0
0,0,0,660,30
1,1,0,730,17
0,0,0,460,65
0,0,0,360,30
0,0,0,250,0
0,0,NA,1940,5
0,0,NA,2420,0
0,0,1,1320,66
0,0,0,790,8
0,0,0,470,75
0,0,0,410,68
1,1,1,1940,72
1,1,1,1570,95
1,1,1,1880,57
0,0,0,1290,64
1,1,1,1340,44
1,0,0,880,44
0,0,0,710,34
0,0,0,630,21
0,0,0,450,23
0,NA,NA,2360,1
1,1,1,1650,43
1,1,1,2050,30
0,0,0,790,26
0,NA,NA,730,7
0,0,0,490,87
0,0,0,840,49
0,0,0,450,39
1,1,1,1010,93
0,0,0,1450,48
0,0,0,850,11
1,0,1,1240,73
0,0,0,570,12
1,1,1,1500,42
0,0,0,1420,26
0,0,0,780,13
0,0,0,470,2
0,0,NA,2080,15
1,1,1,2020,54
1,1,1,1750,74
1,1,1,1630,45
0,0,0,640,61
0,0,0,530,33
0,0,0,660,54
1,1,1,1360,69
0,0,0,1290,47
0,0,0,670,5
0,0,0,480,36
1,1,1,2000,60
0,1,1,800,72
0,0,0,1010,29
0,0,0,680,7
0,0,0,490,7
0,0,0,400,13
0,0,0,320,2
1,1,1,1400,16
0,0,0,590,62
0,0,0,430,9
0,0,0,410,37
0,0,0,510,71
1,1,1,1930,41
1,0,NA,1560,19
0,0,0,700,24
0,0,0,440,10
0,0,0,480,0
0,0,0,490,70
1,1,1,1850,45
0,0,0,490,18
0,0,0,480,20
0,0,0,440,3
0,0,0,820,20
0,0,0,670,36
0,0,0,610,19
1,0,0,1700,35
0,0,0,900,87
1,1,1,1250,51
0,0,0,910,21
0,0,0,540,11
0,0,0,450,29
0,0,0,470,55
0,1,NA,1880,32
1,0,1,1400,32
0,0,0,470,3
0,0,NA,830,58
0,1,1,1950,36
0,0,0,1660,86
0,1,1,1210,75
1,0,0,380,23
0,0,NA,1840,0
0,0,0,950,71
0,0,0,880,69
0,0,0,480,6
0,0,0,550,67
0,0,0,550,67
0,0,0,340,42
0,0,0,550,72
0,0,0,1320,79
0,0,0,260,47
1,0,0,2010,26
0,0,0,1130,56
1,0,NA,1910,18
1,1,1,1630,33
0,0,0,1540,21
1,1,1,1340,39
0,0,0,1180,69
0,0,0,830,42
0,0,0,540,98
1,1,1,1410,52
0,1,0,1320,90
1,0,1,890,50
0,0,0,580,54
0,0,0,500,9
1,1,1,1220,51
1,0,0,710,35
0,0,0,1820,57
0,0,0,520,18
1,1,NA,1890,12
0,0,0,1650,34
0,0,0,1390,68
0,0,0,1390,63
1,0,0,1290,48
0,1,1,1810,33
1,1,0,1130,90
0,0,0,480,33
0,0,0,1040,37
0,0,0,410,8
1,1,1,2030,36
1,1,1,1880,66
0,0,0,950,56
0,0,0,450,0
0,0,0,950,41
0,0,0,1070,63
0,0,NA,1980,0
0,1,0,1350,35
0,0,0,540,14
0,0,0,420,1
1,1,0,1420,27
0,0,NA,2240,0
1,0,NA,1980,6
0,1,NA,2330,0
0,0,NA,2050,1
1,1,1,1180,58
1,0,NA,2010,9
1,1,NA,2220,14
1,1,NA,2310,2
1,1,1,2190,30
1,1,1,1770,93
1,1,1,1830,82
1,1,1,1870,81
1,1,1,1840,82
0,0,NA,2420,0
1,1,1,1820,69
1,1,1,1850,53
0,0,NA,2250,0
0,0,NA,2250,0
0,0,NA,2450,0
0,0,NA,2350,0
0,0,NA,2650,0
0,0,NA,2750,0
0,0,NA,2450,0
0,0,NA,1950,0
0,0,NA,2150,0
0,0,NA,1850,1
0,0,NA,2050,0
0,0,NA,1850,0
0,0,NA,2050,15
0,0,NA,2150,0
0,0,NA,2050,0
0,0,NA,1950,2
0,0,NA,1950,0
0,0,NA,2250,0
0,0,NA,2250,0
0,0,NA,2350,0
